text,created_at,retweet_count,like_count
"@_Matteson4 @Tljefferson23 He’s the fuckin man, would be honored",2025-03-24 06:38:50+00:00,2,12
RT @doc294: Had an amazing time in Pittsburgh this weekend. Ate at Gaucho Parrilla Argentina then went to see @mattrife absolutely kill an…,2025-03-24 04:18:03+00:00,5,0
"SAN DIEGO!!!     APRIL. 13th
🎟️ at https://t.co/K3TJHrVcEj https://t.co/zQpVm938rW",2025-03-24 03:49:31+00:00,30,395
RT @wifeofaHFA: @mattrife was the laughter my husband and I needed after all the devastation. Those 2.5 hours of being able to escape felt…,2025-03-24 03:47:05+00:00,5,0
RT @DCorraro: First time seeing @mattrife and he did not disappoint! You killed it! Thanks for the laughs!,2025-03-24 03:46:53+00:00,5,0
"RT @watchshortiego: Update: @mattrife absolutely crushed it. 12/10 would recommend. I’m gonna be thinking about your donkey kick story, ran…",2025-03-24 03:19:29+00:00,4,0
RT @MadVoterInMN: Awesome show tonight with @mattrife!!! https://t.co/uOQ78T5gr3,2025-03-24 03:18:59+00:00,6,0
RT @fluffy6891: @mattrife is hand down the best comedian I’ve ever seen. i couldn’t stop laughing. Thank you for coming to Pittsburgh.,2025-03-24 03:01:40+00:00,5,0
"RT @acconn_: Hi @mattrife, my mom &amp; I looooved your show last night in Pittsburgh! You were so  funny, we laughed the whole time.  Can’t wa…",2025-03-24 03:01:32+00:00,6,0
RT @illicitaura: Just got done seeing @mattrife for the second time!! Literally had the best time ever 😭😭,2025-03-24 03:00:52+00:00,4,0
MINNEAPOLIS WAS UNBELIEVABLE 😍 https://t.co/6X5XpYsfwy,2025-03-24 03:00:25+00:00,21,216
"RT @TargetCenterMN: See you TONIGHT for Matt Rife's SOLD-OUT Stay Golden Tour stop at Target Center! 🤩

🚪 Doors open at 7:00 PM
📵 No cell p…",2025-03-23 16:14:11+00:00,9,0
"RT @realjohnwalker: Man, @mattrife was so good last night. Probably the best comedian/show I’ve been to yet.

Would definitely go see him a…",2025-03-23 16:13:00+00:00,4,0
RT @Keenan_D_B_: Pittsburgh appreciates you @mattrife definitely a solid show!,2025-03-23 04:55:40+00:00,6,0
"RT @ChronosX10: @mattrife traveled all the way from Jersey to see my guy Matt rife, worth the 6 hour drive, dude was funny as hell. Keep up…",2025-03-23 04:55:16+00:00,5,0
RT @DaveJones412: @mattrife definitely 1 of the best live comedy acts I've seen so far. Had @PPGPaintsArena packed from bottom to top. Appr…,2025-03-23 04:55:10+00:00,5,0
RT @faith_fetsko: @mattrife been waitin for this one. https://t.co/N5m8wbAszS,2025-03-23 03:26:24+00:00,4,0
RT @eschbornhockey: @mattrife awesome show in the burg!!!!,2025-03-23 03:26:17+00:00,4,0
RT @johndischy: @mattrife Great show! https://t.co/KcDwPumRdy,2025-03-23 03:26:15+00:00,5,0
RT @mseges93: @mattrife brought it tonight!! Would see him again in a heartbeat!!,2025-03-23 03:26:12+00:00,5,0
"RT @nightfable_: I’ll never forget tonight, I mean come on..double wombo doctor tiddy moment on the jumbotron

I was no better than a man l…",2025-03-23 03:26:06+00:00,4,0
RT @_kenzieshatz: matt rife you are incredible!!! @mattrife @PPG https://t.co/KUZRbW3met,2025-03-23 03:25:57+00:00,8,0
RT @loveforcatiet: @mattrife you were awesome tonight! So lovely to see you again!! https://t.co/YhpriMZB0d,2025-03-23 03:25:53+00:00,6,0
RT @aiyana_ya: Saw @mattrife tonight @PPG you were amazing and made us laugh so hard we were crying (and might have felt you in our stomach…,2025-03-23 03:25:47+00:00,5,0
RT @SwiftBethany13: I love you @mattrife https://t.co/y9Qa0KB2Bz,2025-03-23 03:25:37+00:00,5,0
RT @KBaronick: Fantastic show tonight @mattrife! THANK YOU!! ❤️#StayGoldenTour https://t.co/xCX7vAmDMO,2025-03-23 03:25:32+00:00,6,0
"RT @colbhawk7: @mattrife great show tonight!! Lots of laugh and good times. Stay golden pony boy and see yinz next time 

Ps… watch out for…",2025-03-23 03:25:29+00:00,5,0
See you tonight Pittsburgh!!,2025-03-22 17:37:22+00:00,25,377
LAS VEGAS!!!   May. 2nd   Get your 🎟️🎟️ https://t.co/9m3tCpT0Hg,2025-03-22 16:22:03+00:00,119,1361
